address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"172 Hope Street, Toronto, ON",1099000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"3002-99 Harbour Square, Toronto, ON",895000.0,2,2,900-999,2.0,2.0,950.0,2,0
"3907-45 Charles Street E, Toronto, ON",568000.0,1,1,600-699,1.0,1.0,650.0,1,0
"11H-8 Rosebank Drive, Toronto, ON",499900.0,2,1,700-799,2.0,1.0,750.0,2,0
"56 Lightwood Drive, Toronto, ON",699000.0,2+2,2,700-1100,4.0,2.0,900.0,2,2
"37 Castleford Drive, Toronto, ON",1788000.0,5+3,6,2500-3000,8.0,6.0,2750.0,5,3
"346-1100 Lansdowne Avenue, Toronto, ON",968000.0,2,2,1069,2.0,2.0,1069.0,2,0
"25 Farmbrook Road, Toronto, ON",889000.0,3,2,700-1100,3.0,2.0,900.0,3,0
"716-2495 Dundas Street W, Toronto, ON",529000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"406-246 Logan Avenue, Toronto, ON",669000.0,1,1,500-599,1.0,1.0,550.0,1,0
"19 King High Avenue, Toronto, ON",2299000.0,4+1,5,2000-2500,5.0,5.0,2250.0,4,1
"91 Steeles Avenue E, Toronto, ON",999000.0,2,2,700-1100,2.0,2.0,900.0,2,0
"1105-1166 Bay Street, Toronto, ON",2995000.0,2,2,2250-2499,2.0,2.0,2374.0,2,0
"902-5 Michael Power Place, Toronto, ON",570000.0,2,2,800-899,2.0,2.0,850.0,2,0
"414-17 Kenaston Gardens, Toronto, ON",599900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"25 Selwood Avenue, Toronto, ON",1880000.0,2+1,2,1100-1500,3.0,2.0,1300.0,2,1
"524-2800 Keele Street, Toronto, ON",499999.0,1,1,500-599,1.0,1.0,550.0,1,0
"254 Evelyn Avenue, Toronto, ON",1530000.0,6,3,2000-2500,6.0,3.0,2250.0,6,0
"18 Ferris Road, Toronto, ON",2290000.0,5,5,2000-2500,5.0,5.0,2250.0,5,0
"2902-88 Grangeway Avenue, Toronto, ON",635000.0,2,1,700-799,2.0,1.0,750.0,2,0
"1807-155 Beecroft Road, Toronto, ON",468000.0,1,1,0-499,1.0,1.0,250.0,1,0
"4804-832 Bay Street, Toronto, ON",608000.0,1,1,0-499,1.0,1.0,250.0,1,0
"708-40 Bay Mills Boulevard, Toronto, ON",478800.0,2,1,900-999,2.0,1.0,950.0,2,0
"602-33 Frederick Todd Way N/a, Toronto, ON",449000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1601-65 Mutual Street, Toronto, ON",499000.0,1+1,2,500-599,2.0,2.0,550.0,1,1
"1912-155 Yorkville Avenue, Toronto, ON",525000.0,1,1,0-499,1.0,1.0,250.0,1,0
"501-65 East Liberty Street, Toronto, ON",799000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"1402-2 Teagarden Court, Toronto, ON",1777888.0,3+1,2,2000-2249,4.0,2.0,2124.0,3,1
"229-380 Hopewell Avenue, Toronto, ON",400000.0,1,1,0-499,1.0,1.0,250.0,1,0
"1105-15 Mercer Street, Toronto, ON",728000.0,2,2,600-699,2.0,2.0,650.0,2,0
"98 Sparkhall Avenue, Toronto, ON",1295000.0,2,2,1100-1500,2.0,2.0,1300.0,2,0
"2110-161 Roehampton Avenue E, Toronto, ON",699000.0,2,2,700-799,2.0,2.0,750.0,2,0
"3201-628 Fleet Street, Toronto, ON",1248000.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"PH31-700 Humberwood Boulevard, Toronto, ON",579800.0,1,1,500-599,1.0,1.0,550.0,1,0
"W604-565 Wilson Avenue, Toronto, ON",649000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"5-30 Hargrave Lane, Toronto, ON",1450000.0,3+1,3,1600-1799,4.0,3.0,1700.0,3,1
"1616-75 East Liberty Street, Toronto, ON",1349000.0,2+1,2,1400-1599,3.0,2.0,1500.0,2,1
"44 Almayo Crescent, Toronto, ON",989000.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"36 Wyatt Avenue, Toronto, ON",1199000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"304-1 Cardiff Road, Toronto, ON",479000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"21 Etienne Street, Toronto, ON",999999.0,3+2,5,1500-2000,5.0,5.0,1750.0,3,2
"309-10 Dean Park Road, Toronto, ON",588000.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"3504-3 Massey Square, Toronto, ON",399000.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"1303-2 Teagarden Court, Toronto, ON",1732888.0,2,2,1800-1999,2.0,2.0,1900.0,2,0
"N906-7 Golden Lion Heights, Toronto, ON",399000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"320-30 Inn On The Park Drive, Toronto, ON",899999.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"515-2088 Lawrence Avenue W, Toronto, ON",435000.0,1,1,700-799,1.0,1.0,750.0,1,0
"2805-60 Brian Harrison Way, Toronto, ON",498000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"3605-1928 Lake Shore Boulevard W, Toronto, ON",799990.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"819-75 East Liberty Street, Toronto, ON",588888.0,1+1,2,700-799,2.0,2.0,750.0,1,1
