address,price,beds,baths,sqft
"172 Hope Street, Toronto, ON",1099000,3 bed,2 bath,1100-1500 sqft
"3002-99 Harbour Square, Toronto, ON",895000,2 bed,2 bath,900-999 sqft
"3907-45 Charles Street E, Toronto, ON",568000,1 bed,1 bath,600-699 sqft
"11H-8 Rosebank Drive, Toronto, ON",499900,2 bed,1 bath,700-799 sqft
"56 Lightwood Drive, Toronto, ON",699000,2+2 bed,2 bath,700-1100 sqft
"37 Castleford Drive, Toronto, ON",1788000,5+3 bed,6 bath,2500-3000 sqft
"346-1100 Lansdowne Avenue, Toronto, ON",968000,2 bed,2 bath,1069 sqft
"25 Farmbrook Road, Toronto, ON",889000,3 bed,2 bath,700-1100 sqft
"716-2495 Dundas Street W, Toronto, ON",529000,1+1 bed,1 bath,600-699 sqft
"406-246 Logan Avenue, Toronto, ON",669000,1 bed,1 bath,500-599 sqft
"19 King High Avenue, Toronto, ON",2299000,4+1 bed,5 bath,2000-2500 sqft
"91 Steeles Avenue E, Toronto, ON",999000,2 bed,2 bath,700-1100 sqft
"P1-230-15 Iceboat Terrace, Toronto, ON",5500,– bed,– bath,
"1105-1166 Bay Street, Toronto, ON",2995000,2 bed,2 bath,2250-2499 sqft
"902-5 Michael Power Place, Toronto, ON",570000,2 bed,2 bath,800-899 sqft
"414-17 Kenaston Gardens, Toronto, ON",599900,1+1 bed,1 bath,600-699 sqft
"25 Selwood Avenue, Toronto, ON",1880000,2+1 bed,2 bath,1100-1500 sqft
"524-2800 Keele Street, Toronto, ON",499999,1 bed,1 bath,500-599 sqft
"254 Evelyn Avenue, Toronto, ON",1530000,6 bed,3 bath,2000-2500 sqft
"18 Ferris Road, Toronto, ON",2290000,5 bed,5 bath,2000-2500 sqft
"2902-88 Grangeway Avenue, Toronto, ON",635000,2 bed,1 bath,700-799 sqft
"467 Danforth Avenue, Toronto, ON",1850000,– bed,– bath,
"307-120 Varna Drive, Toronto, ON",439990,– bed,1 bath,0-499 sqft
"1807-155 Beecroft Road, Toronto, ON",468000,1 bed,1 bath,0-499 sqft
"4804-832 Bay Street, Toronto, ON",608000,1 bed,1 bath,0-499 sqft
