address,price,beds,baths,sqft
"64 Highcourt Crescent, Toronto, ON",958000,4 ,2 ,1500-2000 
"62 Elder Avenue, Toronto, ON",749900,2 ,1 ,< 700 
"1609-70 Queens Wharf Road, Toronto, ON",799000,2 ,2 ,800-899 
"604-127 Queen Street E, Toronto, ON",459000,1 ,1 ,500-599 
"85 Mcrae Drive, Toronto, ON",1925000,4 ,4 ,2000-2500 
"24 Neilson Avenue, Toronto, ON",1249000,4 ,2 ,1500-2000 
"1608-5740 Yonge Street, Toronto, ON",399000,1 ,1 ,500-599 
"201-90 Trinity Street, Toronto, ON",670000,1+1 ,1 ,700-799 
"1001-215 Wynford Drive, Toronto, ON",849000,2+1 ,3 ,1600-1799 
"548 Glebeholme Boulevard, Toronto, ON",1360000,3 ,4 ,1100-1500 
"30 Somerset Avenue, Toronto, ON",1047000,3+1 ,2 ,1100-1500 
"214 Glenholme Avenue, Toronto, ON",1499000,4 ,2 ,1100-1500 
"289 Heath Street E, Toronto, ON",3498000,3+1 ,3 ,2000-2500 
"29 Walford Road, Toronto, ON",3850000,4 ,6 ,2500-3000 
"39 Eighth Street, Toronto, ON",1489000,3 ,3 ,1500-2000 
"803-20 Stewart Street, Toronto, ON",1049888,2+1 ,2 ,1200-1399 
"908-1030 King Street W, Toronto, ON",405000,– ,1 ,0-499 
"P2-14-435 Richmond Street W, Toronto, ON",70000,– ,– ,
"29-2451 Bridletowne Circle, Toronto, ON",649900,3 ,2 ,1000-1199 
"92 Brookdale Avenue, Toronto, ON",1588000,3 ,2 ,1500-2000 
"41 Twenty Ninth Street, Toronto, ON",1249000,3 ,3 ,1500-2000 
"3-157 Isaac Devins Boulevard, Toronto, ON",489000,1 ,1 ,600-699 
"841-15 Merchants' Wharf N/a, Toronto, ON",799000,2 ,2 ,700-799 
"2110-99 Foxbar Road, Toronto, ON",1798000,2 ,2 ,1200-1399 
"651-25 Adra Grado Way, Toronto, ON",699000,2 ,2 ,700-799 
"5 Storey Crescent, Toronto, ON",2998000,4+2 ,5 ,2500-3000 
"731-3091 Dufferin Street, Toronto, ON",519900,1+1 ,1 ,600-699 
"22 Miramar Crescent, Toronto, ON",898000,3+2 ,3 ,1100-1500 
"610-31 Bales Avenue, Toronto, ON",684900,2 ,1 ,700-799 
"1511-88 Park Lawn Road, Toronto, ON",959900,2+1 ,2 ,1000-1199 
"218-1 Belsize Drive, Toronto, ON",499000,1 ,1 ,500-599 
"4702-181 Dundas Street E, Toronto, ON",549000,1 ,1 ,500-599 
"3007-2 Anndale Drive, Toronto, ON",719900,2 ,2 ,800-899 
"508-35 Fontenay Court, Toronto, ON",599900,1 ,2 ,700-799 
"1532-230 Simcoe Street, Toronto, ON",550000,1+1 ,1 ,500-599 
"15 Parkchester Road, Toronto, ON",1599000,5 ,5 ,2500-3000 
"105 King Edward Avenue, Toronto, ON",899900,3 ,2 ,700-1100 
"72 Sealstone Terrace, Toronto, ON",1088888,4+1 ,3 ,1500-2000 
"700-38 Avenue Road, Toronto, ON",4980000,3 ,4 ,3000-3249 
"306-39 Roehampton Avenue, Toronto, ON",988800,2 ,2 ,900-999 
"2302-327 King Street W, Toronto, ON",697888,1 ,1 ,500-599 
"706-980 Yonge Street, Toronto, ON",684000,1 ,1 ,600-699 
"47 Carisbrooke Square, Toronto, ON",1089000,4+2 ,4 ,1500-2000 
"318-230 King Street E, Toronto, ON",639000,1+1 ,2 ,700-799 
"49 Roxborough Street E, Toronto, ON",3995000,3 ,5 ,2000-2500 
"342 Wellesley Street E, Toronto, ON",1849900,3+1 ,3 ,1500-2000 
"60 Bowan Court, Toronto, ON",3198000,5+1 ,7 ,3500-5000 
"822-9 Tecumseth Street, Toronto, ON",484990,1 ,1 ,0-499 
